,Date,Review,Platform
152,2016-01-10,Burger King Leicester Square is for me a highlight of central London no Leicester Square visit is complete without a visit to the best fast food restaurant in central London. A very great alternative to the overpriced restaurants dotted around the Square. A must visit...More,TripAdvisor
153,2016-01-05,"I went with my gf to this Burger King, I liked the food but £6 is a lot for a fast food meal. The service was incredibly slow as it was a busy place to be in plus lot of people around the world eat...More",TripAdvisor
154,2015-12-31,"Like any other fast food around the world, what make this different to the others is the central position being located in one of the most famous squares in the world, Leicester Square, all in all or you come here to eat fast food or...More",TripAdvisor
155,2015-12-21,"We had the misfortune of going to this restaurant today 21/12/15.
I placed the order for the 5 of us which came to £35.37, put in my card and pin to be abruptly told the transaction had not gone through although I knew it had!...More",TripAdvisor
156,2015-12-17,"I have heard Burger King plans to solely and exclusively sell halal meat from now on? How does everyone feel about this? Their burgers are without doubt better than McD's, but have serious reservations as to how halal meat is slaughtered! Why should I be...More",TripAdvisor
157,2015-12-15,"Change of a river and a full belly, worth the long wait for the food to be served. Nice view from upstairs",TripAdvisor
158,2015-12-12,"everyone knows what they are getting from this burger chain, the issue for me was the service at the till from people who are on auto pilot , they will take money there is no need to do it well , type attitude. Placed our...More",TripAdvisor
159,2015-12-04,"If you just want a quick lunch at reasonable prices,  this burger king will fit the bill nicely. It has fast service good food, and we've seldom experienced anything derogatory here. However, if you have this place on your list of choices, it also means...More",TripAdvisor
160,2015-10-10,"I have come here few time when I am in London. Just a 1 min walk from Leicester square underground station. I ordered Chicken royale burger, chips and diet coke.
The food was ok warm. I sat by the window over looking Leicester Square were...More",TripAdvisor
161,2015-09-28,Despite the busy location we were served very quickly however the group behind ordered 20 meals leaving them as the priority. The staff panicked and their standards dropped. The quality of the food was excellent however. The toilets were very poorly maintained and smelt badly,TripAdvisor
162,2015-09-28,Situated in a busy part of London this is perfectly situated in Leicester square. Food is ok and staff efficient. Good for a quick bite to eat.,TripAdvisor
163,2015-09-10,Poor service very disappointed bad customers crevice very bad I must say  some of the staff don't even know what they sell not helpful at all even I try to help and become worst won't go back to this one in particularly,TripAdvisor
164,2015-09-01,"They were quite busy however waited (in the wrong queue) for over 10 mins just to get served, the waitress who served us seemed to know how to do everything just slowly!! Chips were lukewarm burger was average. you have to fill your own cup...More",TripAdvisor
165,2015-08-29,Good burgers but a very busy place due to its central location and difficult at times to find seats to sit down. Normal service.,TripAdvisor
166,2015-08-26,"Tasty cheese whoppers,if you are after fast food,but their normal burgers are too dry,and their filet of fish tasteless,(stick to Mcdonald's file-of fish).",TripAdvisor
167,2015-08-24,"Not our first choice of eatery, but it was pouring down with rain, so decided to go for it. Food was ok (for the expected fast food rubbish) Tables upsatirs were a bit grubby, but not as bad as the toilets. My son needed a...More",TripAdvisor
168,2015-08-10,"Came here about 8 year ago when I was drunk in Leicester square. Didn't want a burger, all I wanted was a plate full of gherkins. The staff said although I couldn't have a plate of gherkins I could buy ten burgers and take the...More",TripAdvisor
169,2015-08-07,"Not my choice to come here but the food was acceptable. 
I can imagine this place becoming horribly busy at weekends
It would have helped if the staff had better command of English.
It's a busy central Burger King so you basically know what to...More",TripAdvisor
170,2015-08-01,I went here to have dinner. Staff was not friendly at all. Food was okay. Toilets were very dirty. I wouldn't recommend going there.,TripAdvisor
171,2015-07-29,"I don't really know why I'm writing a review for this, I mean you know what you're getting when you go to a Burger King.

The food was fine.
The service was terse, but fine.

That's literally it.",TripAdvisor
172,2015-07-24,"Everything here was fine except for the drink vending machine that had some flavours unavailable. Furthermore, topping up the machine with ice took some time for the staff and he used a customer chair the stand on it which im sure is so dirty and...More",TripAdvisor
173,2015-07-24,"Due to it being in a busy part of London, service isn't that fast and you can expect a wait for your food, however, it's almost worth it for the coca cola freestyle machine offering bottomless drinks so you can try every flavour of sprite,...More",TripAdvisor
174,2015-07-21,"Have been here 3 times and had the same thing, XL bacon double cheese burger and fries. Satisfactory, what more can you say about Burger King?",TripAdvisor
175,2015-07-18,burger king is a branch just like mcdonalds but I prefer mcdonalds but you know its ok . okay service okay atmosphere its jus ok and don't forget to find me on instagram with @just_cutes,TripAdvisor
176,2015-06-18,"I came over here I ordered Pina coloada smoothie, Chicken royale and small fries.
I ask for takeway. I paid the money and the staff say next customer I was push off. The staff could have said its would take couples of mins stand here...More",TripAdvisor
177,2015-06-12,To be fair I felt sorry for the staff who didn't stop for a minute. Chicken sandwich was disgusting. Wouldn't go again,TripAdvisor
178,2015-06-04,"Having ate at Burger King all over England, we found this paricular place to be dirty, with poor service, we sat down, the table was sticky & the window was filthy, considering the site at Leicester Square, the management/owners really need to pull their finger...More",TripAdvisor
179,2015-05-29,Went for breakfast. Eventually had to shout into the kitchen to get staff to come and serve. Ordered bacon role no sauce. After a long time got told still waiting for the hash brown. Said I will have it without. Got bacon role covered in...More,TripAdvisor
180,2015-05-26,Great location! Right across from M&M World near Piccadilly Circus. Two floors and a lot of people. Nice and friendly staff and customers as well. Great place.,TripAdvisor
181,2015-04-21,"I was making my way to the tune station after a day of sight seeing and as i was going to eat later with friends i only wanted something ""lite"" so I chose to visit this place partly because it was raining outside and cold....More",TripAdvisor
182,2015-04-11,I was looking for somewhere to get a quick meal in Leicester Square and decided to pop in . Very surprised with the good service and how quick the food came . I just had a whopper burger and it was brilliant,TripAdvisor
183,2015-04-07,"Everything about the place is poor...... not enough people serving, so early on in the morning, having to wait, is just to poor..... my food, was over cooked, and my chips were cold, just everything fast food shouldn't be...
If you are thinking of going...More",TripAdvisor
184,2015-04-07,"Daddy could not change our sons nappy as no facility for Dads. The facility for a female to do this is on the 1st floor so you can not take your pram with you, so have to leave it potentially un attended......
The cubicle is...More",TripAdvisor
185,2015-03-23,"The staff here are disgusting, I had a burger here and then when I wen to go to the toilet the 'bouncer' security man was absolutely disgusting! He would not let me up to the toilet without providing a receipt and telling me I have...More",TripAdvisor
186,2015-03-03,burga king was the cream. luved dem oignon wings. my fave was da skin on da chicken. supa crispie. i like had me a melksake was da sickest thing i evr had. 10/10 would defo eat agin. not at dis place tho.,TripAdvisor
187,2015-02-25,"I came here fews times now. The lady took my order I had bacon double cheese burger and small coke. I was suprise the lady ask me to wait one side she taken 4 others people orders as well.
She give a empty cup you...More",TripAdvisor
188,2015-02-19,Where to start?! Firstly my order was wrong....I ordered plain but it came covered in lettuce and mayo....then there was only diet drinks in the self service machines....to top that ofc there was a homeless chinese guy who looked like he had a major mental...More,TripAdvisor
189,2015-02-03,"I've always wondered why Burger Kings aren't as popular as McDonald's and the answer is they are not as clean, the service is slower, the ambiance is dowdy and the food is just not as good. Bring back Mushroom double Swiss.",TripAdvisor
190,2015-02-01,"It was quite busy at the tills, but the food came relatively quickly. Food was exactly as you would expect, fair price, hot, well cooked.

The only fly in the ointment, the tomatoes in the Burgers was quite bitter and tough, and there was no...More",TripAdvisor
191,2015-01-25,"Very poor attitude from the staff when I visited, despite getting my order wrong 3 times and waiting 30 minutes for food , I got no apology! Toilets were disgusting and the whole place was very dirty.
Avoid and head to Mcdonalds just up the...More",TripAdvisor
192,2015-01-20,"Very busy but very nice, we went here for quickness and cheapness, prices are similar to that of back home, except food quality was much better, highlight was the raspberry coke!
good if you want something cheaper than restaurants",TripAdvisor
193,2015-01-07,"I have used this BK outlet a few times.  On my latest visit the upstairs was completely closed off, so no toilets and hardly anywhere to sit.  My experience at the counter was the usual having to repeat myself and answering questions about stuff I...More",TripAdvisor
194,2015-01-02,Do not visit this burger king ! Use your money wisely and visit an alternative. We went there and there were aound 10 people in store and still it took about 20 minutes for our cold food to arive. The staff were arguing at the...More,TripAdvisor
195,2014-12-30,"The queue was extensive. The server was difficult to communicate with, did not order what I wanted despite a request to read it back to me. She also stated all drinks were self service which was not the case. 

The server then did not ask...More",TripAdvisor
196,2014-12-13,"Went here at the insistance of a friend...awful is the only word to use

Rubbish everywhere
Bins overflowing
No working toilet
Disorganised queuing system
Staff giving customers each others food
No seats free...but no worry as the staff are still merrily dishing out eat in...More",TripAdvisor
197,2014-12-09,"same as any other burger king, staff were prompt serving and queues went down fairly quickly but - as to be expected from the location- there were few tables.",TripAdvisor
198,2014-12-08,We arrived at 2.00pm on Saturday and it was quite busy. Got served in about ten minutes but took that long for them to understand what I wanted. They could speak or understand very little English. The place felt and looked dirty. Ten minutes later...More,TripAdvisor
199,2014-12-07,"Quite busy took about 15 minutes to be served. Hardly any staff could speak or even understand English, had to point or say a number to order the food.Then waited another 10 minutes for the order.
Went upstairs found a seat, and to no surprise,...More",TripAdvisor
200,2014-12-06,Very disappointing.  The Whopper burger was dry. We were told they had no mayo or salt but saw the salt on our way out. I think the staff member who served us just couldn't be bothered to explain.  Toilets were all closed even though soft...More,TripAdvisor
201,2014-11-28,When you buy a big meal and more.. You dont go to your guest and tell them to throw a cola i havent drink up from a cinema that get caneled.  Dont be rude to people that eat here many times! The wifi dont work...More,TripAdvisor
202,2014-11-24,"I love my cheese burger and in the 60s and 70s always went to the Wimpy Bar in the East End of London. Last weekend I went to the theatre and fancied a cheese burger, Burger King was nearby so that is where I ordered...More",TripAdvisor
203,2014-11-24,"This place is very busy. The staff aren't the quickest. Food wise is to be expected. It is always clean, but be prepared to wait.",TripAdvisor
204,2014-10-27,"A big burger joint in Leicester Square.  They got our order wrong which was sorted out.
It is what it is clean and functional.",TripAdvisor
205,2014-10-24,Worst fast food restaurant I have every visited. Doesn't even deserve the one star I am forced to give it.  Paid for 2 meals but only one brought and that was the wrong one.  The assistants grasp of English was so poor it was difficult...More,TripAdvisor
206,2014-10-07,"Me & my family visited this branch on Sat 4 Oct at lunchtime. The queues were long & I waited 40 mins to be served.

When I got served the staff member was new & kept asking for colleagues for help for which buttons to...More",TripAdvisor
207,2014-10-04,"I visited last year and assumed it was a bad day so was happy to try again.  That was a mistake.  The queue was much shorter this time, but food service even slower and less accurate than previously,  while waiting for my own meal, I...More",TripAdvisor
208,2014-09-27,"I truly ever stop at this BK because it was the first spot I found in London that had the fizzy machine to mix up flavor in Coke like Vanilla, Orange, and cherry vanilla.  The only flavor I have yet to see added is coffee....More",TripAdvisor
209,2014-09-12,Traveling along and after going to a show I decided to grab a mean to take back to my room. It was prompt efficient and friendly as one would expect. Was surprised to see two enormous bouncers patrolling the room and doors but I suppose...More,TripAdvisor
210,2014-09-12,The whopper and fries with diet coke is less than 6 pounds. The environment is clean with friendly staffs,TripAdvisor
211,2014-09-02,"No different to any other Burger King around the country. Apart from some rude tourists purposefully putting their rubbish on the table next to them to stop others using it.
Seating is the biggest problem at this location. While sitting down to our food the...More",TripAdvisor
212,2014-08-26,"I'll start by saying the one good thing: the food was good, hot and tasty. Now the bad: the portions of fries were small, the bathroom needed attention, the queue was monstrous and chaotic and overall the experience was poor.",TripAdvisor
213,2014-08-17,Only ate there once  due to very slow service by staff who moved as if in a trance .  A very busy  site  which obviously needs a staff upgrade  to improve this great location on Leicester Square as the burger  was probably the best I...More,TripAdvisor
214,2014-08-13,Appalling staff attitude.  We waited more than 45 mins in a small que to be served the staff in my opinion quite clearly don't want to be there.  Poor lady in front of me spoke very little English and the huffs and puffs of the...More,TripAdvisor
215,2014-07-31,Every time I visit UK Burger King is a must! I like the tasty burgers and the unique potatoes! What else can I say??!!!,TripAdvisor
216,2014-07-27,waited nearly half an hour for fast food which wasn't worth the wait. the place was packed and the staff had no sense of urgency as the sauntered around attempting to fulfil orders. would recommend going to other outlets in an area not so heavily...More,TripAdvisor
217,2014-07-23,"Yes, Burger King is probably the best burger chain for food but the queuing is uncontrolled and chaotic here, the service is disorganised and you will be very lucky to get a seat if you don't want to eat your food standing up. Staff are...More",TripAdvisor
218,2014-07-06,"Fast food. Same as all the others.
Obviously it's very busy, pretty much all of the time. Cheap and cheerful.",TripAdvisor
219,2014-07-03,"Unsatisfactory experience of a visit to London Leicester Square branch on Saturday 28th June 2014 at approximately 10.15pm. My issue does not lie with Burger King as such yet to the security staff. 

As with any service in public, everyone should expect to be treated...More",TripAdvisor
220,2014-07-02,I visited with my brother late last Saturday afternoon. The queue wasn't huge but we waited almost 25 minutes to be served and started to worry that we would miss our train. The person behind the counter seems to have to take the order and...More,TripAdvisor
221,2014-06-15,"Seeing as it is in Central London, it is packed full of people almost 24/7. Me and my Dad went in for a burger but the queue was horrendous, so we used their toilets and travelled to Mcdonalds. Not a complaint against Burger King, just...More",TripAdvisor
222,2014-06-15,For a fast food place. Slowest ever. Rude staff too. Would not visit this burger king again... They really need new  management.,TripAdvisor
223,2014-06-08,"Asked for an Angry whopper, then other food, NOT an Angry whopper meal, Angry whopper is £4.99 yes extortionate in enough itself, but being charged £6.79 is an outrage.",TripAdvisor
224,2014-03-29,"Hello there again people I'm back with another review, I was requested to go here as apparently it's the best food place people have been...
Now let me just tell you this first, it's a good job they have toilets because if they din't I...More",TripAdvisor
225,2014-02-20,Was quite busy but probably less so than I expected. Were able to sit inside easily. Really liked the drinks machines. Staff were very good when taling orders and checked everything was ok when we went back for pudding. Vouchers are accepted here too.,TripAdvisor
226,2014-02-20,"I like BK generally.  Better than that other outfit...

My Aberdeen angus burger was lovely.
Chips were nice - far better than McD.

Complaints:
I thought the chicken strip kids meals were basically nuggets - they are not.  They are also not very nice.  I'm...More",TripAdvisor
227,2014-02-06,"I came here for a late meal. I did have half price vouchers from a newspaper. I ordered cheese burger, tea and reg fries. I was not happy about the reg fries there look so small. I did asked the staff if there were sure...More",TripAdvisor
228,2014-02-04,Tasted fine. Cost was ok. Service always seems really slow and finding a spare seat can be a nightmare.,TripAdvisor
229,2014-01-26,"We went at lunch time so was expecting a queue but it seemed very unorganised more like a croud of people that the staff were just calling forward. 
That being said as always food was amazing! And they had a great selection of drinks I...More",TripAdvisor
230,2014-01-09,"It tastes better in England, but everybody ranging from nuns, vegans and Eskimos, need to have a BACON DOUBLE CHEESBURGER. Look at it this way.
1. There isn't a supersize me about Bk
2. Burger King has attempted to change English with BK instead of...More",TripAdvisor
231,2013-10-25,"Didn't feel safe so walked out. I have eaten there before and it was pleasant enough but on this occasion, there were far too many people crammed in. It was definitely a health and safety issue! It was Chinese New Year and a horrible rainy...More",TripAdvisor
232,2013-10-11,"Fast food,fast service and cheap buy.  Cant really ask for more can we.
sometimes when its big group then the staff seems to loose track of orders but other than that its all good",TripAdvisor
233,2013-09-28,"It had become our favourite joint to give respite to our aching legs after walking, shopping and sightseeing the many attractions of London; and an exercise to our eyes to watch the multinational crowds on the Leicestor Square. And, not to forget the burgers and...More",TripAdvisor
234,2013-09-23,"We have been to this BK several times when in london , the restaurant needs a re-vamp , the upstairs seems dated !! anyway its good value ( as had vouchers) the food is never that hot !!
good view upstairs over leicester sq ....More",TripAdvisor
235,2013-09-18,We found it an interesting place to sit and relax your legs after walking around all the beautiful tourist attractions of London around the Leicestor square. You can watch the revellers from the window while you eat the burgers and all the accompaniments with unlimited...More,TripAdvisor
236,2013-09-18,"If you are ""a bit above"" the ideal BMI, you are asked ""One ???"" at the counter when you order a whopper.
The second floor of the Restaurant is a clean and quiet place to eat and rest from the busy streets of London.",TripAdvisor
237,2013-09-15,We went to Burger King for our breakfast one morning - one poor unhappy guy trying his best to keep customers happy. Big sign up saying it was take away only till 10 am which no one took any notice of and sat at the...More,TripAdvisor
238,2013-09-10,"Very strategically located on the Leicestor Square in London, we went first just to relax and grab some fast food after hours of sight seeing. We got a window seat. Even the vegetarian food was good, with several varieties of soft drinks from self dispensing...More",TripAdvisor
239,2013-09-03,"Good but rammed as was saturday night, rubbish everywhere inside and out. Security guard on the door a bit off putting and drunken misfits everywhere.",TripAdvisor
240,2013-08-14,"This restaurant have bottomless drinks and service is quick and good! Recommend! They have a lot of space and tables. If you like burguer king, this is a good one to visit.",TripAdvisor
241,2013-07-03,"Nothing wrong, but as expected in that location just too busy and therefore the wait is too long there is no where to sit and to many people can't be bothered to carry their trays away.",TripAdvisor
242,2013-06-23,My husband and I just had the worst experience in Burger king Leicester Square. We went to burger king at 1155pm on the 23/6/2013 thinking of getting burger. I was queuing up to buy burgers and my hand was holding a plastic bag with leftover...More,TripAdvisor
243,2013-05-30,Complete and utter garbage...they have not invented adjectives to describe how bad this place is...it is truly awful.,TripAdvisor
244,2013-05-12,Just been insulted in the Burger King on Lester Square in London!!! OUTRAGEOUS experience!!! My boyfriend had some food we bought from a store nearby but I want to get the burgers from Burger King. The staff at the door pushed my boyfriend out when...More,TripAdvisor
245,2013-04-09,"We were hungry, so we went to BK in Leicester Square.The food was horrible and the staff were miserable. IMO MacDonald's is much better.",TripAdvisor
246,2013-04-05,"You know what to expect with BK food, but they have self service drinks machines with a HUGE range of choices -raspberry coke, anyone?- which were great fun!",TripAdvisor
247,2013-03-27,Its my pleasure to write about the food i eat .the staff were friendly and cooperative .i like the service and excellent and warm greeting from the staff .it would be excellent if the manager working there could call their staff and told the things...More,TripAdvisor
248,2013-03-04,"Standard sort of burger king really. You can make changes to a burger if needed eg. I ordered mine without the cheese.
Empty when we went but it was around 11am. 
The best part of it though is the drinks machine. Rather than just standard...More",TripAdvisor
249,2013-02-19,Had to go here to give our son tea as another restaurant in Leicester Square failed to bring his meal.,TripAdvisor
250,2013-02-09,"I was quite looking forward to a Burger King as I hadn't had one for months, and I got what I expected!

The queues were massive and we waited forever for a table, but the food itself was the usual BK fare. I've never seen...More",TripAdvisor
251,2013-01-24,"The service here is terrible, the queues aren't even that big and yet you wait AGES to be served but they have Coca-Cola Freestyle machines and that in itself is worth a visit. Beware of the pigeons though, and the people that stupidly feed them!...More",TripAdvisor
252,2013-01-20,"Good clean restaurant with friendly staff. Food was hot and tasty, plenty of room upstairs to sit, bottomless cup drinks machine, which means you can keep using it until you have had your fill. We also had vouchers to use for so had two meals...More",TripAdvisor
253,2013-01-06,"Burger King is in my opinion, one of the better fast food franchises. It offers a far better tasting and much more filling meal than that of McDonald's and does not leave you feeling like you should visit the doctor immediately after consumption. This particular...More",TripAdvisor
254,2012-12-28,"This restaurant is owned by a friend of mine and I would normally never eat at such a fast food outlet, however, he invited me to meet him there and I was very pleasantly surprised at how much I enjoyed the meal he gave me....More",TripAdvisor
